,price,age,rep,mil,hyb,4wd,S,G,W,GX,A,X
293,203.3,4,0,2.7,0,0,0,0,1,0,0,0
294,207.6,5,0,4.4,1,0,0,0,1,0,0,0
295,219.3,4,0,3.2,1,0,0,0,1,0,0,0
296,172.2,4,0,7.9,1,0,1,0,0,0,0,0
297,230.3,3,0,3.1,1,0,0,0,1,0,0,0
298,230.5,2,0,2.9,1,0,0,0,1,0,0,0
299,190.4,3,0,5.3,1,0,1,0,0,0,0,0
300,216.0,4,0,3.5,1,0,0,0,1,0,0,0
301,228.4,3,0,3.1,1,0,0,0,1,0,0,0
302,212.6,4,0,4.7,1,0,0,0,1,0,0,0
303,178.2,5,0,6.0,1,0,1,0,0,0,0,0
304,241.9,1,0,0.7,0,0,0,0,1,0,0,0
305,221.1,4,0,3.4,1,0,0,0,1,0,0,0
306,216.3,4,0,3.6,1,0,0,0,1,0,0,0
307,262.1,1,0,2.4,1,0,0,0,1,0,0,0
308,222.6,4,0,3.3,1,0,0,0,1,0,0,0
309,235.4,3,0,3.0,1,0,0,0,1,0,0,0
310,194.8,4,0,2.3,1,0,1,0,0,0,0,0
311,197.3,4,0,3.3,0,0,0,0,1,0,0,0
312,199.8,3,0,2.0,0,0,0,0,1,0,0,0
313,200.7,5,0,5.8,1,0,0,0,1,0,0,0
314,186.5,5,0,4.0,0,0,0,0,1,0,0,0
315,182.6,5,0,7.2,1,0,0,0,1,0,0,0
316,186.8,5,0,5.3,0,0,0,0,1,0,0,0
317,213.6,4,0,4.6,1,0,0,0,1,0,0,0
318,210.1,5,0,4.9,1,1,1,0,0,0,0,0
319,180.5,4,0,2.3,0,0,1,0,0,0,0,0
320,271.5,1,0,2.2,1,0,0,0,1,0,0,0
321,218.6,4,0,4.3,1,0,0,0,1,0,0,0
322,216.3,5,0,2.5,1,0,0,0,1,0,0,0
323,271.4,1,0,2.1,1,0,0,0,1,0,0,0
324,252.2,1,0,4.1,1,0,0,0,1,0,0,0
325,140.6,3,0,9.8,1,0,0,0,0,1,0,0
326,218.8,3,0,2.5,1,0,1,0,0,0,0,0
327,172.5,5,0,3.3,0,0,1,0,0,0,0,0
328,209.3,3,0,1.3,0,0,0,0,1,0,0,0
329,221.2,3,0,1.5,0,0,0,0,1,0,0,0
330,199.8,3,0,5.9,0,0,0,0,0,0,1,0
331,231.7,3,0,0.7,1,0,0,0,1,0,0,0
332,191.0,5,0,5.1,1,0,0,0,1,0,0,0
333,219.0,4,0,3.5,1,0,0,0,1,0,0,0
334,202.7,4,0,5.1,1,0,0,0,1,0,0,0
335,150.1,3,0,5.8,0,0,0,0,0,1,0,0
336,192.4,4,0,3.4,1,0,1,0,0,0,0,0
337,187.7,3,0,5.2,0,0,0,0,1,0,0,0
338,229.4,3,0,3.0,1,0,0,0,1,0,0,0
339,225.2,4,0,3.0,1,0,0,0,1,0,0,0
